,eq_magnitude,seafloor_disp,water_depth,distance_epicenter,wave_height,wave_period,coastal_elevation,tidal_range,shoreline_slope,warning_time,target
eq_magnitude,1.0,0.029309641948432934,0.014517728238226195,-0.02942386228111089,0.03478454468969647,-0.059440325511053625,0.027268865668937166,-0.02549127081296977,-0.040869798621382465,0.060702138712568514,0.6184229532427375
seafloor_disp,0.029309641948432934,1.0,0.027262359253841635,-0.005790518219848379,0.032910772270338166,0.029994245863680217,0.04232694185995438,0.049960000505624914,0.003278767004086463,-0.06549526110298029,0.31555863614559576
water_depth,0.014517728238226195,0.027262359253841635,1.0,-0.013559927333487574,-0.00885807822885257,-0.02035283165824445,-0.02829871687739032,-0.04677531556703608,-0.005227171010854843,0.013118898889462237,-0.06672186096421792
distance_epicenter,-0.02942386228111089,-0.005790518219848379,-0.013559927333487574,1.0,-0.044812113653290894,0.039959336838352594,-0.017132634191520727,-0.02284859413890633,0.02539737617136889,0.004490400447886584,-0.18699274197636775
wave_height,0.03478454468969647,0.032910772270338166,-0.00885807822885257,-0.044812113653290894,1.0,-0.055864133918970015,0.020510809531775077,-0.008889196989377535,0.02832827374481827,0.005122756028379719,0.2514788368668914
wave_period,-0.059440325511053625,0.029994245863680217,-0.02035283165824445,0.039959336838352594,-0.055864133918970015,1.0,0.007983345494826669,0.012288223137480953,-0.03194219635440961,-0.0028033615206964693,0.10222815382032438
coastal_elevation,0.027268865668937166,0.04232694185995438,-0.02829871687739032,-0.017132634191520727,0.020510809531775077,0.007983345494826669,1.0,0.03815454353600419,0.001169029064689341,0.01318994612140023,-0.16960509938754742
tidal_range,-0.02549127081296977,0.049960000505624914,-0.04677531556703608,-0.02284859413890633,-0.008889196989377535,0.012288223137480953,0.03815454353600419,1.0,-0.04930688648238338,-0.008831285907005848,0.03241733093430775
shoreline_slope,-0.040869798621382465,0.003278767004086463,-0.005227171010854843,0.02539737617136889,0.02832827374481827,-0.03194219635440961,0.001169029064689341,-0.04930688648238338,1.0,0.017457522009107055,0.09137036337065335
warning_time,0.060702138712568514,-0.06549526110298029,0.013118898889462237,0.004490400447886584,0.005122756028379719,-0.0028033615206964693,0.01318994612140023,-0.008831285907005848,0.017457522009107055,1.0,0.17792529196116813
target,0.6184229532427375,0.31555863614559576,-0.06672186096421792,-0.18699274197636775,0.2514788368668914,0.10222815382032438,-0.16960509938754742,0.03241733093430775,0.09137036337065335,0.17792529196116813,1.0
