,temperature,humidity,heat_index,duration,air_quality,wind_speed,uv_index,drought_index,precipitation,night_temp,target
temperature,1.0,0.029309641948433416,0.014517728238226271,-0.029423862281110935,0.03478454468969624,-0.05944032551105351,0.027268865668936895,-0.025491270812969674,-0.040869798621382396,0.0607021387125689,0.08373179195911144
humidity,0.029309641948433416,1.0,0.027262359253841368,-0.005790518219848489,0.03291077227033812,0.029994245863680092,0.04232694185995424,0.04996000050562503,0.0032787670040863985,-0.06549526110298044,-0.2346300559858615
heat_index,0.014517728238226271,0.027262359253841368,1.0,-0.01355992733348755,-0.008858078228852725,-0.02035283165824435,-0.028298716877390283,-0.04677531556703613,-0.00522717101085492,0.013118898889462249,0.07946573855199814
duration,-0.029423862281110935,-0.005790518219848489,-0.01355992733348755,1.0,-0.04481211365329091,0.03995933683835262,-0.01713263419152075,-0.022848594138906414,0.025397376171368936,0.004490400447886531,0.6268643859224116
air_quality,0.03478454468969624,0.03291077227033812,-0.008858078228852725,-0.04481211365329091,1.0,-0.05586413391896998,0.02051080953177516,-0.008889196989377542,0.028328273744818305,0.0051227560283796944,-0.07617064996078503
wind_speed,-0.05944032551105351,0.029994245863680092,-0.02035283165824435,0.03995933683835262,-0.05586413391896998,1.0,0.007983345494826792,0.012288223137480861,-0.031942196354409494,-0.0028033615206964494,0.05675895504156708
uv_index,0.027268865668936895,0.04232694185995424,-0.028298716877390283,-0.01713263419152075,0.02051080953177516,0.007983345494826792,1.0,0.03815454353600409,0.0011690290646893507,0.013189946121400092,0.18918366552055493
drought_index,-0.025491270812969674,0.04996000050562503,-0.04677531556703613,-0.022848594138906414,-0.008889196989377542,0.012288223137480861,0.03815454353600409,1.0,-0.04930688648238333,-0.008831285907005925,0.32551760964475024
precipitation,-0.040869798621382396,0.0032787670040863985,-0.00522717101085492,0.025397376171368936,0.028328273744818305,-0.031942196354409494,0.0011690290646893507,-0.04930688648238333,1.0,0.017457522009106947,-0.12225757032971696
night_temp,0.0607021387125689,-0.06549526110298044,0.013118898889462249,0.004490400447886531,0.0051227560283796944,-0.0028033615206964494,0.013189946121400092,-0.008831285907005925,0.017457522009106947,1.0,0.09963500585520066
target,0.08373179195911144,-0.2346300559858615,0.07946573855199814,0.6268643859224116,-0.07617064996078503,0.05675895504156708,0.18918366552055493,0.32551760964475024,-0.12225757032971696,0.09963500585520066,1.0
